RegistrationNumber,Make,Model,MakeYear,Body,Transmission,Fuel,Trim,Mileage,DTCListingPrice,NumPaintedParts,NumReplacedParts
34WU0330,Volkswagen,Passat,2017,Sedan,Otomatik,Dizel,1.6 Tdi Bmt Comfortline Dsg 120HP,104990,1246000,1,0
06WNS657,Toyota,Corolla,2021,Sedan,Otomatik,Hibrit,1.8 Hybrid Flame X-Pack E-CVT 122HP,27891,1133000,0,0
34FB7579,Kia,Sportage,2019,SUV,Otomatik,Dizel,1.6 Crdi 4x2 Elegance Konfor Dct 136HP,49252,1244000,0,0
34ES0065,Opel,Astra,2014,Hatchback,Manuel,Dizel,1.6 Cdti Start&Stop Enjoy Active 110HP,97000,609000,0,0
34ETA067,Opel,Mokka,2021,SUV,Otomatik,Benzin,1.2 Turbo Elegance 130HP,18491,1209000,0,0
35AKL740,Hyundai,Tucson,2019,SUV,Otomatik,Dizel,1.6 Crdi 4x2 Style Plus Dct 136HP,45147,1293000,0,0
34CFN300,Audi,Q2,2019,SUV,Otomatik,Benzin,35 Tfsi Sport S-Tronic 150HP,18026,1610000,0,0
34PJ6070,Opel,Astra,2016,Hatchback,Otomatik,Benzin,1.4 Turbo Start&Stop Enjoy 150HP,59243,890000,5,4
07FFR47,Citroen,C-Elysee,2012,Sedan,Manuel,Dizel,1.6 Hdi Confort 92HP,112030,485000,3,1
34YR6693,Ford,Focus,2011,Sedan,Manuel,Dizel,1.6 Tdci Titanium 110HP,108500,580000,3,1
34YJ9770,Mercedes-Benz,C,2013,Sedan,Otomatik,Benzin,180 Amg 7G-Tronic 156HP,110000,1326000,0,0
34ENP749,Peugeot,2008,2021,SUV,Manuel,Benzin,1.2 Puretech Active 100HP,21407,1050000,0,0
34AEP600,Skoda,Octavia,2017,Hatchback,Otomatik,Dizel,1.6 Tdi Greentec Style Dsg 115HP,75268,1115000,0,0
09YM965,Peugeot,2008,2015,SUV,Manuel,Dizel,1.6 e-HDI Start&Stop Allure 92HP,72052,732000,2,2
07EZT09,Renault,Symbol,2010,Sedan,Manuel,Benzin,1.2 16v Expression Plus 75HP,142082,422000,4,1
34WPB760,Volkswagen,T-Roc,2020,SUV,Otomatik,Benzin,1.5 Tsi Act Highline Dsg 150HP,37000,1375000,0,0
47AAZ730,Honda,Civic,2020,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Executive 125HP,21000,1163000,1,0
34CYK976,Renault,Clio,2020,Hatchback,Otomatik,Benzin,1.3 Tce Touch Edc 130HP,88272,750000,4,0
06ZKC94,Mercedes-Benz,C,2011,Sedan,Otomatik,Benzin,180 Blueefficiency Elegance 7G-Tronic 156HP,147187,1045000,1,0
34CLZ554,Volkswagen,T-Roc,2019,SUV,Otomatik,Benzin,1.5 Tsi Act Highline Dsg 150HP,27410,1406000,0,0
70AAS576,Kia,Stonic,2022,SUV,Otomatik,Benzin,1.4 Dpi Cool 100HP,9094,997000,0,0
46BB907,Ford,Focus,2019,Hatchback,Otomatik,Dizel,1.5 Tdci St Line 120HP,103358,1150000,0,0
34CLT445,Renault,Clio,2019,Station Wagon,Otomatik,Dizel,Sport Tourer 1.5 Dci Icon Edc 90HP,70300,778000,2,0
06LV444,Honda,Civic,2018,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Executive 125HP,68133,1019000,0,0
34ETA650,Peugeot,3008,2020,SUV,Otomatik,Dizel,1.5 Bluehdi Active Life Prime Edition Eat6 130HP,32269,1404000,0,0
76NJP67,Renault,Megane,2016,Hatchback,Otomatik,Dizel,1.5 Dci Icon Edc 110HP,79701,899000,0,0
34BCM047,Volkswagen,Jetta,2017,Sedan,Manuel,Benzin,1.4 Tsi Bmt Comfortline 125HP,56264,886000,0,0
06CMC073,Volvo,S60,2015,Sedan,Otomatik,Benzin,1.5 T3 Premium Geartronic 152HP,111907,1232000,2,0
34PE4474,Nissan,Qashqai,2015,SUV,Manuel,Dizel,1.5 Dci Start&Stop Sky Pack 110HP,118489,938000,0,0
45AIM044,Ford,Focus,2022,Sedan,Otomatik,Benzin,1.5 Ti-VCT Trend X 123HP,15427,1156000,0,0
06APT053,Peugeot,3008,2017,SUV,Otomatik,Dizel,1.6 Bluehdi Active Eat6 120HP,122000,1091000,0,0
06FA7497,Ford,Fiesta,2014,Hatchback,Otomatik,Benzin,1.6 Trend Powershift 105HP,95201,593000,1,1
34WLP437,Peugeot,2008,2020,SUV,Otomatik,Benzin,1.2 Puretech Allure Eat8 130HP,33653,1245000,0,0
06CAR950,Hyundai,Tucson,2020,SUV,Otomatik,Dizel,1.6 Crdi 4x4 Elite Dct 136HP,44331,1411000,0,0
37WZ709,Dacia,Duster,2013,SUV,Manuel,Dizel,1.5 Dci 4x2 Ambiance 90HP,114518,558000,2,0
07ACY543,Fiat,Egea,2019,Sedan,Manuel,Benzin,1.4 Fire Easy 95HP,83235,597000,0,0
34JZ9706,Audi,A3,2013,Hatchback,Otomatik,Dizel,Sportback 1.6 Tdi Attraction S-Tronic 105HP,101533,904000,1,0
06PA6344,Honda,Civic,2017,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Elegance 125HP,124802,909000,0,0
34BCU494,Renault,Megane,2018,Sedan,Otomatik,Dizel,Sedan 1.5 Dci Icon Edc 110HP,44000,1022000,0,0
06BBM377,Renault,Clio,2018,Hatchback,Otomatik,Dizel,1.5 Dci Icon Edc 90HP,51750,778000,3,0
34PWB644,Volkswagen,Golf,2021,Hatchback,Otomatik,Hibrit,1.0 eTsi R Line Dsg 110HP,30432,1527000,0,0
35KP3773,Renault,Kadjar,2016,SUV,Otomatik,Dizel,1.5 Dci Icon Edc 110HP,103827,1012000,0,0
50FU000,Volkswagen,Passat,2009,Sedan,Otomatik,Benzin,1.4 Tsi Exclusive Tiptronic 122HP,131750,826000,0,0
34BAB474,Audi,A6,2018,Sedan,Otomatik,Dizel,2.0 Tdi Quattro S-Tronic 190HP 4x4,66131,2496000,2,0
34BKW444,Fiat,Egea,2018,Sedan,Manuel,Dizel,1.3 Multijet Urban 95HP,40628,654000,2,0
76BBZ793,Ford,Tourneo Courier,2022,Kombi,Manuel,Dizel,1.5 Tdci Titanium Plus 100HP,35000,829000,0,0
34WAS494,Peugeot,3008,2020,SUV,Otomatik,Dizel,1.5 Bluehdi Allure Dynamic Eat8 130HP,55241,1315000,0,0
34CKC074,Honda,Civic,2019,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Executive 125HP,34200,1098000,0,0
35YK007,Hyundai,Getz,2010,Hatchback,Manuel,Benzin,1.4 Dohc Start 97HP,131575,404000,2,1
34WBR666,Toyota,C-HR,2020,SUV,Otomatik,Hibrit,1.8 Hybrid 4x2 Passion e-CVT 122HP,22000,1244000,0,0
06BLC046,Honda,Civic,2019,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Executive 125HP,99796,1030000,0,0
34SW5757,Renault,Clio,2016,Hatchback,Otomatik,Dizel,1.5 Dci Touch Edc 90HP,82869,661000,1,0
34FST754,Fiat,Egea,2020,Sedan,Manuel,Dizel,1.3 Multijet Urban Plus 95HP,86847,750000,3,0
06FU7406,Skoda,Superb,2016,Hatchback,Otomatik,Dizel,1.6 Tdi Greentec Prestige Dsg 120HP,87683,1277000,0,0
06MNP04,Skoda,Kodiaq,2018,SUV,Otomatik,Benzin,1.4 Tsi Act Greentec Ambition Dsg 150HP,56244,1351000,0,0
47ABJ357,Volkswagen,Golf,2018,Hatchback,Otomatik,Benzin,1.4 Tsi Bmt Highline Dsg 125HP,40000,1194000,0,0
34BUK934,Fiat,Egea,2018,Sedan,Manuel,Dizel,1.3 Multijet Easy 95HP,81292,588000,0,0
46AFZ707,Fiat,Egea,2022,SUV,Otomatik,Dizel,Cross 1.6 Multijet II Urban 130HP,9625,1073000,0,0
64AB767,Renault,Megane,2017,Sedan,Otomatik,Dizel,Sedan 1.5 Dci Icon Edc 110HP,63000,970000,0,0
34VT7503,Renault,Clio,2011,Station Wagon,Otomatik,Benzin,Grandtour 1.6 16v Extreme 110HP,41000,467000,9,0
07AKJ459,Fiat,Egea,2022,Sedan,Otomatik,Hibrit,1.5 T4 Easy AT 130HP,39000,980000,0,0
34RU7700,Hyundai,Tucson,2016,SUV,Otomatik,Benzin,1.6 T-GDI 4x4 Elite Plus Dct 177HP,100568,1160000,0,0
06ACW496,Peugeot,301,2016,Sedan,Manuel,Dizel,1.6 Hdi Active 92HP,142412,499000,2,1
35BNE745,Honda,Civic,2020,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Executive 125HP,44349,1139000,0,0
06WOA90,Audi,A3,2017,Sedan,Otomatik,Benzin,Sedan 1.0 Tfsi Sport Line S-Tronic 116HP,69000,1472000,0,0
70CAN00,Volkswagen,Tiguan,2019,SUV,Otomatik,Benzin,1.5 Tsi Act Comfortline Dsg 150HP,66000,1553000,0,0
34ENA330,Fiat,Egea,2021,Sedan,Manuel,Benzin,1.4 Fire Easy Plus 95HP,24164,688000,0,0
34BWP405,Volkswagen,Passat,2018,Sedan,Otomatik,Benzin,1.4 Tsi Bmt Highline Dsg 125HP,50000,1674000,0,2
70AFP997,Fiat,Egea,2018,Hatchback,Otomatik,Dizel,1.6 16v Multijet II Start&Stop Urban Plus Dct 120HP,67748,810000,0,0
34PAU475,Hyundai,I20,2022,Hatchback,Otomatik,Benzin,1.4 Mpi Style 100HP,8038,884000,0,0
34FPW057,Renault,Clio,2022,Hatchback,Otomatik,Benzin,1.0 Tce Joy X-Tronic 90HP,23000,802000,1,0
34CVR069,Renault,Megane,2016,Sedan,Otomatik,Benzin,Sedan 1.2 Tce Icon Edc 130HP,80000,933000,1,1
34NB0976,Hyundai,I20,2016,Hatchback,Otomatik,Benzin,1.4 Mpi Style 100HP,37000,755000,0,0
34FPU046,Renault,Clio,2020,Hatchback,Otomatik,Benzin,1.3 Tce Touch Edc 130HP,78405,764000,2,0
07ATW057,Dacia,Sandero Stepway,2021,SUV,Otomatik,Benzin,1.0 Tce Prestige X-Tronic 90HP,8857,844000,0,0
33AAE744,Skoda,Karoq,2020,SUV,Otomatik,Dizel,1.6 Tdi Greentec Premium Dsg 115HP,40683,1453000,0,0
34WCA747,BMW,3 Serisi,2020,Sedan,Otomatik,Benzin,320i First Edition Sport Line 170HP,25561,2162000,0,0
35CTK339,Audi,A3,2020,Hatchback,Otomatik,Benzin,Sportback 35 Tfsi Design S-Tronic 150HP,69121,1332000,1,0
34ENP749,Peugeot,2008,2021,SUV,Manuel,Benzin,1.2 Puretech Active 100HP,21407,1050000,0,0
07BBN697,Skoda,Scala,2022,Hatchback,Otomatik,Benzin,1.0 Tsi Premium Dsg 110HP,18610,1122000,0,0
34CLL664,Peugeot,3008,2019,SUV,Otomatik,Dizel,1.5 Bluehdi Active Life Sky Pack Eat6 130HP,62000,1271000,0,0
